#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,bspwm,"is a nice window manager."
,sxhkd,"is simple x hotkey binding for setting hotkeys."
,polybar,"is a customisable panel program."
A,picom-jonaburg-git,"is a compositor for transparency, blur, and round corners."
,firefox,"is obviously a browser."
,thunderbird,"is email client with PGP built-in."
,termite,"is a terminal emulator."
,ranger,"is a terminal file manager."
,dmenu,"runs command and provides a UI for selection."
,rofi,"is similar to dmenu but more like a launcher."
,calcurse,"is a lightweight terminal-based calendar."
,clamav,"scan files for virus."
,ufw,"is a CLI firewall program."
,i3lock,"allows you to lock your computer, and quickly unlock with your password."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
A,ytmdl,"download music from YouTube with metadata."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zathura-djvu,"allows viewing of djvu with zathura."
,zathura-ps,"allowsviewing of postscripts with zathura."
,neovim,"is a tidier vim with some useful features"
,python-pynvim,"is a python client and plugin host for neovim."
,python-virtualenvwrapper,"is a python virtualenv wrapper."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,maim,"can take quick screenshots at your request."
,mpv,"is the patrician's choice video player."
,unclutter,"hides an inactive mouse."
,lxappearance,"is a theme setter."
,ttf-fira-sans,"is Fira sans fonts."
A,nerd-fonts-fira-mono,"is monospaced fonts with nerd fonts."
A,matcha-gtk-theme,"is a nice GTK theme."
,papirus-icon-theme,"is a nice icon theme."
,blueman,"is a bluetooth applet."
,arandr,"is a UI for screen adjustment."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,gnome-keyring,"serves as the system keyring."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,ncmpcpp,"is a ncurses interface for music with multiple formats and a powerful tag editor."
,man-db,"lets you read man pages of programs."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulseaudio-bluetooth,"set up bluetooth with pulseaudio."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,openblas,"is an open source and better version of BLAS."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
